央视频道,#genre#
山西卫视,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8

深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
深圳卫视,http://222.169.85.8:9901/tsfile/live/0126_1.m3u8

四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
四川卫视,http://183.11.239.36:808/hls/50/index.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
四川卫视,http://222.169.85.8:9901/tsfile/live/0123_1.m3u8

天津卫视,http://124.116.183.146:9901/tsfile/live/0135_1.m3u8
天津卫视,http://112.46.85.60:8009/hls/44/index.m3u8
天津卫视,http://113.57.111.4:1111/tsfile/live/1024_1.m3u8
天津卫视,http://1.24.190.98:10080/hls/69/index.m3u8

西藏卫视,http://218.89.240.144:59901/tsfile/live/0111_1.m3u8
西藏卫视,http://113.25.252.226:9901/tsfile/live/1003_1.m3u8
西藏卫视,http://nas.hssvm.com:8888/udp/225.1.1.51:5002
西藏卫视,http://36.105.100.208:35455/itv/6603041244077933770.m3u8?cdn=ystenlive

新疆卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
新疆卫视,http://113.25.252.226:9901/tsfile/live/0110_1.m3u8
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
新疆卫视,http://42.225.117.174:11199/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
延边卫视,http://36.105.100.208:35455/itv/1000000005000266008.m3u8
延边卫视,http://36.105.100.208:35455/itv/1000000005000266008.m3u8?cdn=ystenlive

云南卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
云南卫视,http://222.169.85.8:9901/tsfile/live/0119_1.m3u8
云南卫视,http://123.130.84.106:8154/tsfile/live/0119_1.m3u8
云南卫视,http://123.130.84.106:8154/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8
浙江卫视,http://58.17.48.228:808/hls/32/index.m3u8

重庆卫视,http://218.89.240.144:59901/tsfile/live/0142_1.m3u8
重庆卫视,https://www.yangshipin.cn/tv/home?pid=600002531
重庆卫视,http://123.130.84.106:8154/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://123.129.70.178:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
安多卫视,http://36.105.100.208:35455/itv/1000000005000266001.m3u8?cdn=ystenlive

东方卫视,http://39.164.160.249:9901/tsfile/live/0107_1.m3u8
东方卫视,http://124.116.183.146:9901/tsfile/live/0107_1.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
东方卫视,http://182.150.23.74:808/hls/19/index.m3u8

黑龙江卫视,http://39.164.160.249:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://58.57.40.22:9901/tsfile/live/1040_1.m3u8
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8

内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
内蒙古卫视,http://111.61.236.247:9081/hls/48/index.m3u8
内蒙古卫视,http://cssbyd.imwork.net:8082/hls/44/index.m3u8
山东教育,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
莲花卫视,https://fenghuang.tv12.xyz/187.m3u8















北京卫视,http://ygbh.site/php/bfgd.php?id=083
本溪综合,http://ygbh.site/php/bfgd.php?id=312
兵团卫视,http://ygbh.site/php/bfgd.php?id=124
财富天下,http://ygbh.site/php/bfgd.php?id=231
茶频道,http://ygbh.site/php/bfgd.php?id=181
朝阳新闻综合,http://ygbh.site/php/bfgd.php?id=282
车迷频道,http://ygbh.site/php/bfgd.php?id=146
重庆汽摩,http://ygbh.site/php/bfgd.php?id=168
重庆卫视,http://ygbh.site/php/bfgd.php?id=107
大连新闻综合,http://ygbh.site/php/bfgd.php?id=273
丹东新闻综合,http://ygbh.site/php/bfgd.php?id=276
电视指南,http://ygbh.site/php/bfgd.php?id=164
电子体育,http://ygbh.site/php/bfgd.php?id=143
东方卫视,http://ygbh.site/php/bfgd.php?id=093
东南卫视,http://ygbh.site/php/bfgd.php?id=483
儿童动漫,http://ygbh.site/php/bfgd.php?id=293
发现之旅,http://ygbh.site/php/bfgd.php?id=151
法治天地,http://ygbh.site/php/bfgd.php?id=162
抚顺综合,http://ygbh.site/php/bfgd.php?id=275
阜新综合,http://ygbh.site/php/bfgd.php?id=279
甘肃卫视,http://ygbh.site/php/bfgd.php?id=119
广东卫视,http://ygbh.site/php/bfgd.php?id=092
广西卫视,http://ygbh.site/php/bfgd.php?id=116
贵州卫视,http://ygbh.site/php/bfgd.php?id=101
国学频道,http://ygbh.site/php/bfgd.php?id=169
海南卫视,http://ygbh.site/php/bfgd.php?id=473
河北卫视,http://ygbh.site/php/bfgd.php?id=108
河南卫视,http://ygbh.site/php/bfgd.php?id=339
河南卫视,http://ygbh.site/php/bfgd.php?id=104
黑龙江卫视,http://ygbh.site/php/bfgd.php?id=095
湖北卫视,http://ygbh.site/php/bfgd.php?id=102
湖南卫视,http://ygbh.site/php/bfgd.php?id=086
葫芦岛新闻综合,http://ygbh.site/php/bfgd.php?id=284
环球旅游,http://ygbh.site/php/bfgd.php?id=147
绘画,http://ygbh.site/php/bfgd.php?id=297
吉林卫视,http://ygbh.site/php/bfgd.php?id=097
纪录片,http://ygbh.site/php/bfgd.php?id=295
家庭剧场,http://ygbh.site/php/bfgd.php?id=290
家庭理财,http://ygbh.site/php/bfgd.php?id=139
家庭影院,http://ygbh.site/php/bfgd.php?id=289
家政,http://ygbh.site/php/bfgd.php?id=167
江苏卫视,http://ygbh.site/php/bfgd.php?id=085
江西卫视,http://ygbh.site/php/bfgd.php?id=098
金鹰卡通,http://ygbh.site/php/bfgd.php?id=105
锦州新闻综合,http://ygbh.site/php/bfgd.php?id=277
老故事,http://ygbh.site/php/bfgd.php?id=166
连山区综合,http://ygbh.site/php/bfgd.php?id=491
辽宁北方,http://ygbh.site/php/bfgd.php?id=071
辽宁都市,http://ygbh.site/php/bfgd.php?id=610
辽宁公共,http://ygbh.site/php/bfgd.php?id=077
辽宁公共,http://ygbh.site/php/bfgd.php?id=481
辽宁教育青少,http://ygbh.site/php/bfgd.php?id=075
辽宁经济,http://ygbh.site/php/bfgd.php?id=480
辽宁经济,http://ygbh.site/php/bfgd.php?id=076
辽宁生活,http://ygbh.site/php/bfgd.php?id=073
辽宁体育,http://ygbh.site/php/bfgd.php?id=611
辽宁卫视,http://ygbh.site/php/bfgd.php?id=058
辽宁新动漫,http://ygbh.site/php/bfgd.php?id=140
辽宁影视剧,http://ygbh.site/php/bfgd.php?id=070
辽阳新闻综合,http://ygbh.site/php/bfgd.php?id=280
龙港区综合,http://ygbh.site/php/bfgd.php?id=490
内蒙古卫视,http://ygbh.site/php/bfgd.php?id=110
宁夏卫视,http://ygbh.site/php/bfgd.php?id=118
农林卫视,http://ygbh.site/php/bfgd.php?id=122
盘锦新闻综合,http://ygbh.site/php/bfgd.php?id=283
青海卫视,http://ygbh.site/php/bfgd.php?id=111
求索地理,http://ygbh.site/php/bfgd.php?id=286
求索动物,http://ygbh.site/php/bfgd.php?id=287
求索生活,http://ygbh.site/php/bfgd.php?id=288
山东教育卫视,http://ygbh.site/php/bfgd.php?id=112
山东卫视,http://ygbh.site/php/bfgd.php?id=099
山西卫视,http://ygbh.site/php/bfgd.php?id=109
陕西卫视,http://ygbh.site/php/bfgd.php?id=512
陕西卫视,http://ygbh.site/php/bfgd.php?id=114
社区老年教育课堂,http://ygbh.site/php/bfgd.php?id=615
摄影频道,http://ygbh.site/php/bfgd.php?id=222
深圳卫视,http://ygbh.site/php/bfgd.php?id=100
沈阳新闻综合,http://ygbh.site/php/bfgd.php?id=059
生态环境,http://ygbh.site/php/bfgd.php?id=149
世界地理,http://ygbh.site/php/bfgd.php?id=177
收藏天下,http://ygbh.site/php/bfgd.php?id=155
书画,http://ygbh.site/php/bfgd.php?id=180
四川卫视,http://ygbh.site/php/bfgd.php?id=103
天津卫视,http://ygbh.site/php/bfgd.php?id=084
天元围棋,http://ygbh.site/php/bfgd.php?id=633
天元围棋,http://ygbh.site/php/bfgd.php?id=144
铁岭新闻综合,http://ygbh.site/php/bfgd.php?id=281
外国影院,http://ygbh.site/php/bfgd.php?id=291
网络棋牌,http://ygbh.site/php/bfgd.php?id=141
午夜影院,http://ygbh.site/php/bfgd.php?id=294
西藏卫视,http://ygbh.site/php/bfgd.php?id=121
先锋乒羽,http://ygbh.site/php/bfgd.php?id=349
新疆卫视,http://ygbh.site/php/bfgd.php?id=150
延边卫视,http://ygbh.site/php/bfgd.php?id=117
营口新闻综合,http://ygbh.site/php/bfgd.php?id=278
优优宝贝,http://ygbh.site/php/bfgd.php?id=153
游戏竞技,http://ygbh.site/php/bfgd.php?id=296
